Variabelenaam
leeftijdcat3v
Lftklassen
etnicat
Generatie
Migratieachtergrond
AGHHA202
AGHHA203
AGHHS203
AGHHS201
AGHHAA203
AGHHAA212
AGHHAA207
AGHHAA208
AGHHAA209
AGHHAA210
AGHHAA211
